old_table,old_field,new_table,new_field,data_type,size,nullable,is_primary_key,note
Expense Object List,ExObject ID,CostObject,Id,VARCHAR,10,YES,true,
Expense Object List,ExObject Name,CostObject,ObjectName,VARCHAR,50,YES,false,
Expense Object List,syncronizeFlag,CostObject,Syncronizeflag,BIT,1,NO,false,
tblStockLedger,Bill ID,InvestmentLedger,JournalVoucherId,INTEGER,10,YES,false,
tblStockLedger,Bill No,InvestmentLedger,VoucherNo,VARCHAR,10,YES,false,
tblStockLedger,Bill Date,InvestmentLedger,VoucherDate,DATETIME,19,YES,false,
tblStockLedger,Contents,InvestmentLedger,Contents,VARCHAR,100,YES,false,
tblStockLedger,DQuantity,InvestmentLedger,Dquantity,DOUBLE,53,YES,false,
tblStockLedger,CQuantity,InvestmentLedger,Cquantity,DOUBLE,53,YES,false,
tblStockLedger,DPrice,InvestmentLedger,Dprice,DOUBLE,53,YES,false,
tblStockLedger,CPrice,InvestmentLedger,Cprice,DOUBLE,53,YES,false,
tblStockLedger,DAmount,InvestmentLedger,Damount,DOUBLE,53,YES,false,
tblStockLedger,CAmount,InvestmentLedger,Camount,DOUBLE,53,YES,false,
tblStockLedger,EndQty,InvestmentLedger,Endqty,DOUBLE,53,YES,false,
tblStockLedger,EndAmount,InvestmentLedger,Endamount,DOUBLE,53,YES,false,
Special Value,Account ID,SpecialValue,AccountId,VARCHAR,10,YES,false,
Special Value,Customer ID,SpecialValue,CustomerId,VARCHAR,10,YES,false,
Special Value,BeginBalance,SpecialValue,Beginbalance,DOUBLE,53,YES,false,
Special Value,InBalance,SpecialValue,Inbalance,DOUBLE,53,YES,false,
Special Value,EndBalance,SpecialValue,Endbalance,DOUBLE,53,YES,false,
Special Value,BeginDebit,SpecialValue,Begindebit,DOUBLE,53,YES,false,
Special Value,BeginCredit,SpecialValue,Begincredit,DOUBLE,53,YES,false,
Special Value,InDebit,SpecialValue,Indebit,DOUBLE,53,YES,false,
Special Value,InCredit,SpecialValue,Incredit,DOUBLE,53,YES,false,
Special Value,EndDebit,SpecialValue,Enddebit,DOUBLE,53,YES,false,
Special Value,EndCredit,SpecialValue,Endcredit,DOUBLE,53,YES,false,
tblVat,LineID,VatEntry,Lineid,COUNTER,10,NO,true,
tblVat,ID,VatEntry,Id,INTEGER,10,YES,false,
tblVat,SerialNo,VatEntry,Serialno,VARCHAR,30,YES,false,
tblVat,VATBillNo,VatEntry,Vatbillno,VARCHAR,30,YES,false,
tblVat,VATBillDate,VatEntry,Vatbilldate,DATETIME,19,YES,false,
tblVat,VATObjectName,VatEntry,Vatobjectname,VARCHAR,50,YES,false,
tblVat,VATObjectID,VatEntry,Vatobjectid,VARCHAR,10,YES,false,
tblVat,TaxNo,VatEntry,Taxno,VARCHAR,50,YES,false,
tblVat,VATDescription,VatEntry,Vatdescription,VARCHAR,255,YES,false,
tblVat,Amount,VatEntry,Amount,DOUBLE,53,YES,false,
tblVat,Rate,VatEntry,Rate,DOUBLE,53,YES,false,
tblVat,Type,VatEntry,Type,SMALLINT,5,YES,false,
tblVat,Remark,VatEntry,Remark,VARCHAR,255,YES,false,
tblVat,TaxRateID,VatEntry,Taxrateid,SMALLINT,5,YES,false,
tblVat,CatID,VatEntry,Catid,SMALLINT,5,YES,false,
tblVat,BeforeTaxAmount,VatEntry,Beforetaxamount,DOUBLE,53,YES,false,
Asset Input Line,ID,AssetDetail,JournalEntryId,INTEGER,10,YES,false,
Asset Input Line,Asset ID,AssetDetail,AssetId,VARCHAR,10,YES,false,
Asset Input Line,Quantity,AssetDetail,Quantity,DOUBLE,53,YES,false,
Asset Input Line,Price,AssetDetail,Price,DOUBLE,53,YES,false,
Asset Input Line,SrCode,AssetDetail,Srcode,VARCHAR,10,YES,false,
Asset Input Line,ReasonID,AssetDetail,Reasonid,VARCHAR,10,YES,false,
