relationship_group,pk_table,pk_field,fk_table,fk_field,on_update,on_delete
rel_1,Account Balance Entries,Entry ID,Account Balance,Entry ID,CASCADE,CASCADE
rel_2,Asset Or Capital,Asset Or Capital ID,Account Balance Entries,Asset Or Capital ID,CASCADE,CASCADE
rel_3,Source List,SrCode,Asset Input Line,SrCode,NO ACTION,NO ACTION
rel_4,AssetTrackingDep,Asset ID,Asset Input Line,Asset ID,NO ACTION,NO ACTION
rel_5,Transaction List,ID,Asset Input Line,ID,NO ACTION,NO ACTION
rel_6,Counter Accounts,ID,Asset Input Line,ID,NO ACTION,NO ACTION
rel_7,Asset List,Asset ID,Asset Input Line,Asset ID,CASCADE,NO ACTION
rel_8,Reason List,ReasonID,Asset Input Line,ReasonID,CASCADE,NO ACTION
rel_9,Origin,Origin ID,Asset Or Capital,Origin ID,CASCADE,CASCADE
rel_10,Department List,DeptID,AssetTracking,DeptID,NO ACTION,NO ACTION
rel_11,AssetTrackingDep,Asset ID,AssetTracking,Asset ID,NO ACTION,NO ACTION
rel_12,Expense Object List,ExObject ID,AssetTracking,ExObject ID,NO ACTION,NO ACTION
rel_13,InterestRate,EndDate,AssetTracking,EndDate,NO ACTION,NO ACTION
rel_14,Asset List,Asset ID,AssetTracking,Asset ID,CASCADE,NO ACTION
rel_15,Expense Object List,ExObject ID,AssetTrackingDep,ExObject ID,NO ACTION,NO ACTION
rel_16,Department List,DeptID,AssetTrackingDep,DeptID,NO ACTION,NO ACTION
rel_17,InterestRate,EndDate,AssetTrackingDep,EndDate,NO ACTION,NO ACTION
rel_18,Account List,Account ID,Balance Sheet,Account ID,NO ACTION,NO ACTION
rel_19,Account List,Account ID,Counter Accounts,Account ID,NO ACTION,NO ACTION
rel_20,Counter Accounts,ID,Currency Input Line,ID,NO ACTION,NO ACTION
rel_21,Transaction List,ID,Currency Input Line,ID,CASCADE,CASCADE
rel_22,Currency List,Currency ID,Currency Input Line,Currency ID,CASCADE,NO ACTION
rel_23,Currency List,Currency ID,Currency Liability Line,Currency ID,NO ACTION,NO ACTION
rel_24,Customer Input Line,Line ID,Currency Liability Line,Line ID,CASCADE,CASCADE
rel_25,LiabilityReason,LiabilityReasonID,Customer Input Line,LiabilityReasonID,NO ACTION,NO ACTION
rel_26,Counter Accounts,ID,Customer Input Line,ID,NO ACTION,NO ACTION
rel_27,Liability Due,Customer ID,Customer Input Line,Customer ID,NO ACTION,NO ACTION
rel_27,Liability Due,Liability Things ID,Customer Input Line,Liability Things ID,NO ACTION,NO ACTION
rel_28,Customer List,Customer ID,Customer Input Line,Customer ID,CASCADE,NO ACTION
rel_29,Liability Things,Liability Things ID,Customer Input Line,Liability Things ID,CASCADE,NO ACTION
