step_order,level,table_old,table_new,depends_on_new,has_autonumber_pk,has_composite_pk,note
1,0,tblStockLedger,InvestmentLedger,,false,false,
2,0,List of Month,FinancialMonth,,true,false,
3,0,InterestRate,InterestRate,,false,false,
4,0,Department List,Department,,false,false,
5,0,Obligation List,TaxObligation,,true,false,
6,0,Asset Ledger,AssetLedger,,false,false,
7,0,Account List,ChartOfAccount,,false,false,
8,0,Warehouse List,Warehouse,,false,false,
9,0,Cash Flow Balance,CashFlowBalance,,false,false,
10,0,Liability Things,DebtType,,false,false,
11,0,Reason List,Reason,,false,false,
12,0,TaxRateList,TaxRate,,false,false,
13,0,Material Ledger,InventoryLedger,,false,false,
14,0,tblStockTypes,StockType,,false,false,
15,0,Cost Calculating Book List,CostCalculatingBook,,true,false,
16,0,Expense Atribute List,CostElement,,false,false,
17,0,tblUsers,SystemUser,,true,false,
18,0,Source List,Source,,false,false,
19,0,LiabilityReason,DebtReason,,true,false,
20,0,Currency List,Currency,,false,false,
21,0,Security Table,SecurityPolicy,,false,false,
22,0,Asset List,Asset,,false,false,
23,0,General Ledger,GeneralLedger,,false,false,
24,0,Year Cash Flow Balance,CashFlowYearBalance,,false,false,
25,0,Bills,JournalVoucher,,true,false,
26,0,CategoriesList,Category,,false,false,
27,0,Currency Ledger,CurrencyLedger,,false,false,
28,0,Expense Object List,CostObject,,false,false,
29,0,Origin,ReportSection,,true,false,
30,0,Cash Flow List,CashFlowCategory,,true,false,
31,0,Customer List,Partner,,false,false,
32,1,Balance Sheet,TrialBalance,ChartOfAccounts,false,false,
33,1,Counter Accounts,CounterAccounts,ChartOfAccounts,true,false,
34,1,tblStocks,Stock,StockTypes,false,false,
35,1,userAccounts,UserAccount,ChartOfAccounts;SystemUsers,false,true,
36,1,Exchange Rate,ExchangeRate,Currencies,false,true,
37,1,Transaction List,JournalEntry,ChartOfAccounts;Vouchers,true,false,
38,1,Material List,InventoryItem,Categories,false,false,
39,1,AssetTrackingDep,AssetTrackingDepreciation,ExpenseObjects;Departments;InterestRates,false,false,
40,1,ExAsset Bills,AssetExportVoucher,ChartOfAccounts;ExpenseObjects,false,false,
41,1,ExMaterial Bills,InventoryExportVoucher,ExpenseObjects,false,false,
42,1,Expence Object Ledger,CostLedger,ExpenseObjects;ExpenseAttributes,false,false,
43,1,Asset Or Capital,ReportCategory,Origins,true,false,
44,1,Liability Due,LiabilityDue,Customers;LiabilityItems,false,true,
45,1,Special Value,SpecialValue,ChartOfAccounts;Customers,false,false,
46,2,Currency Input Line,CurrencyDetail,CounterAccounts;Transactions;Currencies,false,false,
47,2,Expense Object Input Line,CostDetail,CounterAccounts;Transactions;ExpenseAttributes;ExpenseObjects,true,false,
48,2,Material Input Bill,InventoryVoucher,CounterAccounts;ExpenseObjects;Transactions;ExpenseObjects;Warehouses,true,false,
49,2,tblStockLine,InvestmentDetail,CounterAccounts;Customers;Transactions;Stocks,true,false,
50,2,tblVat,VatEntry,Transactions;CounterAccounts,true,false,
51,2,Material Price List,MaterialPrice,InventoryItems;Warehouses,false,true,
52,2,Asset Input Line,AssetDetail,Sources;AssetTrackingDepreciations;Transactions;CounterAccounts;Assets;Reasons,false,false,
53,2,AssetTracking,AssetTracking,Departments;AssetTrackingDepreciations;ExpenseObjects;InterestRates;Assets,true,false,
54,2,Depreciation Table,Depreciation,Sources;Assets;AssetTrackingDepreciations,false,false,
55,2,Account Balance Entries,ReportItem,AssetCapitalSources,true,false,
56,2,Customer Input Line,DebtDetail,LiabilityReasons;CounterAccounts;LiabilityDues;Customers;LiabilityItems;Transactions,true,false,
57,2,Liability Ledger,DebtLedger,LiabilityItems;Customers;LiabilityDues,false,false,
58,3,ExObject Customer Input Line,CustomerExportLine,LiabilityDues;ExpenseObjectReceiptLines;LiabilityReasons;LiabilityItems;Customers,false,false,
59,3,Expense Tax Line,ExpenseTaxLine,ExpenseObjectReceiptLines,false,false,
60,3,Material Input Line,InventoryVoucherLine,InventoryItems;InventoryReceiptVouchers,true,false,
61,3,Account Balance,ReportFormula,AccountBalanceEntries,true,false,
62,3,Currency Liability Line,CurrencyLiabilityLine,Currencies;CustomerReceiptLines,false,false,
63,4,Material Tax Line,MaterialTaxLine,InventoryReceiptLines,false,false,
64,4,PrevBussiness,PreviousBusinessPeriod,AccountBalances,false,false,
65,4,PrevCash Flow,CashFlowPreviousPeriod,AccountBalances;CashFlowCategories,false,false,
66,5,Interest,Interest,MaterialTaxLines;LiabilityItems;CustomerReceiptLines;CustomerExportLines;LiabilityReasons;CurrencyLiabilityLines;Customers;LiabilityDues,false,false,
67,5,InterestDetail,InterestDetail,MaterialTaxLines;CustomerReceiptLines;CustomerExportLines;CurrencyLiabilityLines;InterestRates,false,false,
68,1,Obligation Items,TaxObligationItem,Obligations,true,false,
69,2,Account and Obligation Items,AccountTaxObligation,TaxObligationItem;ChartOfAccounts,false,false,
70,0,Business Result Items,BusinessResultItem,,true,false,
71,1,Account And Business Items,AccountBusinessResult,BusinessResultItem;ChartOfAccounts,false,false,
72,1,Cash Flow Items,CashFlowItem,CashFlowCategory,true,false,
73,2,Account And Cash Flow Items,AccountCashFlowItem,CashFlowItem;ChartOfAccounts,false,false,
74,1,Cost Calculating Items,CostCalculatingItem,CostCalculatingBook,true,false,
75,2,Account And Cost Calculating Items,AccountCostCalculatingItem,CostCalculatingItem;ChartOfAccount,false,false,
76,1,Dynamic Book List,CustomCostReport,,true,false,
77,2,Dynamic Book And Account,CustomCostReportAccount,CustomCostReport;ChartOfAccount,true,false,
78,0,VAT Declare Items,VatDeclareItem,,true,false,
79,1,Account and VAT Declare Items,AccountVatDeclareItem,VatDeclareItem;ChartOfAccount,true,false,
80,0,VAT3 Tax Items,Vat3TaxItem,,true,false,
81,1,Account and VAT3 Items,AccountVat3Item,Vat3TaxItem;ChartOfAccount,true,false,
